# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1699334497.219399690628052,0.01190,0.00026,0.00026,0.00000,0.00000,0.00170,0.01412
1699334497.286148071289062,0.00724,0.00037,0.00025,0.00000,0.00000,0.00247,0.01033
1699334497.352896928787231,0.01061,0.00031,0.00022,0.00000,0.00019,0.00213,0.01345
1699334497.419645786285400,0.00945,0.00040,0.00014,0.00000,0.00026,0.00221,0.01245
1699334497.486394643783569,0.00733,0.00042,0.00055,0.00000,0.00131,0.00224,0.01185
1699334497.553143024444580,0.01030,0.00030,0.00017,0.00000,0.00060,0.00187,0.01323
1699334497.619891881942749,0.00322,0.00019,0.00015,0.00000,0.00106,0.00133,0.00595
1699334497.686640739440918,0.00407,0.00019,0.00020,0.00000,0.00009,0.00138,0.00592
1699334497.753389358520508,0.00312,0.00019,0.00027,0.00000,0.00071,0.00132,0.00561
1699334497.820138454437256,0.00305,0.00020,0.00009,0.00000,0.00040,0.00134,0.00509
1699334497.886887073516846,0.00636,0.00039,0.00028,0.00000,0.00440,0.00209,0.01352
1699334497.953636169433594,0.00799,0.00050,0.00057,0.00000,0.00167,0.00230,0.01304
1699334498.020384788513184,0.00716,0.00035,0.00033,0.00000,0.00000,0.00237,0.01021
1699334498.087133646011353,0.00740,0.00057,0.00032,0.00000,0.00024,0.00223,0.01076
1699334498.153882741928101,0.00896,0.00035,0.00007,0.00000,0.00289,0.00232,0.01460
1699334498.220631361007690,0.00346,0.00030,0.00015,0.00000,0.00013,0.00205,0.00609
1699334498.287380218505859,0.00404,0.00029,0.00010,0.00000,0.00063,0.00203,0.00710
1699334498.354128599166870,0.00465,0.00034,0.00019,0.00000,0.00039,0.00272,0.00827
1699334498.420877456665039,0.00776,0.00049,0.00013,0.00000,0.00239,0.00190,0.01267
1699334498.487626075744629,0.00645,0.00044,0.00009,0.00000,0.00017,0.00320,0.01034
1699334498.554374694824219,0.00834,0.00050,0.00018,0.00000,0.00072,0.00350,0.01325
1699334498.621123552322388,0.00284,0.00019,0.00006,0.00000,0.00025,0.00140,0.00474
1699334498.687872171401978,0.00783,0.00051,0.00037,0.00000,0.00197,0.00180,0.01248
1699334498.754621028900146,0.00791,0.00032,0.00035,0.00000,0.00056,0.00235,0.01150
1699334498.821369647979736,0.00745,0.00035,0.00039,0.00000,0.00079,0.00237,0.01135
1699334498.888118505477905,0.01383,0.00030,0.00064,0.00000,0.00005,0.00221,0.01704
1699334498.954867124557495,0.01420,0.00056,0.00091,0.00000,0.00059,0.00130,0.01755
1699334499.021615982055664,0.00770,0.00040,0.00030,0.00000,0.00000,0.00241,0.01081
1699334499.088364839553833,0.00478,0.00032,0.00027,0.00000,0.00005,0.00221,0.00762
1699334499.155113458633423,0.00801,0.00039,0.00060,0.00000,0.00025,0.00253,0.01179
1699334499.221862316131592,0.00284,0.00019,0.00025,0.00000,0.00065,0.00144,0.00537
1699334499.288610458374023,0.01308,0.00017,0.00053,0.00000,0.00050,0.00113,0.01541
1699334499.355359315872192,0.01127,0.00033,0.00057,0.00000,0.00008,0.00206,0.01432
1699334499.422107458114624,0.00951,0.00040,0.00054,0.00000,0.00080,0.00260,0.01385
1699334499.488856077194214,0.01126,0.00044,0.00089,0.00000,0.00028,0.00143,0.01431
1699334499.555604457855225,0.00985,0.00030,0.00034,0.00000,0.00050,0.00173,0.01273
1699334499.622352838516235,0.01216,0.00029,0.00018,0.00000,0.00184,0.00146,0.01594
1699334499.689101219177246,0.00992,0.00048,0.00050,0.00000,0.00000,0.00228,0.01318
1699334499.755849838256836,0.00869,0.00059,0.00052,0.00000,0.00000,0.00224,0.01203
1699334499.822598218917847,0.00997,0.00036,0.00008,0.00000,0.00000,0.00246,0.01287
1699334499.889346599578857,0.00521,0.00037,0.00034,0.00000,0.00006,0.00254,0.00852
1699334499.956094980239868,0.01116,0.00039,0.00011,0.00000,0.00021,0.00256,0.01442
1699334500.022843360900879,0.00439,0.00034,0.00014,0.00000,0.00210,0.00240,0.00937
1699334500.089591979980469,0.00760,0.00042,0.00012,0.00000,0.00074,0.00215,0.01103
1699334500.156340122222900,0.00234,0.00019,0.00001,0.00000,0.00006,0.00124,0.00383
1699334500.223089933395386,0.00400,0.00032,0.00002,0.00000,0.00075,0.00263,0.00772
1699334500.289840221405029,0.01215,0.00030,0.00009,0.00000,0.00073,0.00223,0.01550
1699334500.356590509414673,0.00797,0.00051,0.00004,0.00000,0.00122,0.00233,0.01207
1699334500.423341035842896,0.00885,0.00052,0.00003,0.00000,0.00307,0.00145,0.01393
1699334500.490091562271118,0.01541,0.00050,0.00007,0.00000,0.00000,0.00178,0.01776
1699334500.556842088699341,0.00853,0.00024,0.00027,0.00000,0.00124,0.00174,0.01201
1699334500.623592376708984,0.00713,0.00048,0.00013,0.00000,0.00000,0.00376,0.01149
1699334500.690343141555786,0.00828,0.00047,0.00012,0.00000,0.00006,0.00280,0.01174
1699334500.757093906402588,0.00860,0.00037,0.00003,0.00000,0.00020,0.00299,0.01218
1699334500.823844671249390,0.00679,0.00041,0.00010,0.00000,0.00253,0.00306,0.01288
1699334500.890595436096191,0.00941,0.00038,0.00008,0.00000,0.00080,0.00261,0.01328
1699334500.957345962524414,0.01416,0.00020,0.00001,0.00000,0.00006,0.00159,0.01603
1699334501.024096965789795,0.00422,0.00027,0.00002,0.00000,0.00137,0.00205,0.00793
1699334501.090847730636597,0.00523,0.00034,0.00003,0.00007,0.00047,0.00258,0.00871
1699334501.157598495483398,0.01025,0.00033,0.00009,0.00006,0.00078,0.00174,0.01326
1699334501.224347829818726,0.01031,0.00057,0.00235,0.00005,0.00322,0.00180,0.01831
1699334501.291575193405151,0.01049,0.00060,0.00004,0.00014,0.00000,0.00218,0.01345
1699334501.358808517456055,0.01099,0.00036,0.00153,0.00005,0.00051,0.00185,0.01529
1699334501.426048278808594,0.01370,0.00034,0.00053,0.00005,0.00000,0.00254,0.01717
