# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1700030431.148207187652588,0.00686,0.00044,0.00018,0.00000,0.00041,0.00188,0.00977
1700030431.214429616928101,0.00791,0.00024,0.00031,0.00000,0.00369,0.00193,0.01408
1700030431.280842304229736,0.00641,0.00036,0.00306,0.00008,0.00143,0.00303,0.01437
1700030431.347757816314697,0.00822,0.00053,0.00139,0.00010,0.00027,0.00154,0.01205
1700030431.414487123489380,0.00420,0.00028,0.00051,0.00004,0.00014,0.00212,0.00730
1700030431.481223106384277,0.00908,0.00040,0.00033,0.00000,0.00007,0.00185,0.01173
1700030431.547964811325073,0.00804,0.00073,0.00146,0.00000,0.00333,0.00111,0.01468
1700030431.614712476730347,0.00303,0.00016,0.00046,0.00002,0.00064,0.00129,0.00561
1700030431.681465864181519,0.00428,0.00030,0.00052,0.00018,0.00000,0.00388,0.00916
1700030431.748224735260010,0.00667,0.00029,0.00058,0.00008,0.00065,0.00222,0.01050
1700030431.814988851547241,0.00695,0.00048,0.00003,0.00016,0.00561,0.00144,0.01467
1700030431.881759405136108,0.00400,0.00028,0.00002,0.00007,0.00080,0.00214,0.00731
1700030431.948536157608032,0.00765,0.00038,0.00040,0.00016,0.00100,0.00296,0.01253
1700030432.015318393707275,0.00635,0.00043,0.00063,0.00006,0.00048,0.00212,0.01006
1700030432.082106351852417,0.00610,0.00023,0.00024,0.00007,0.00054,0.00186,0.00904
1700030432.148900508880615,0.00401,0.00021,0.00017,0.00006,0.00031,0.00207,0.00683
1700030432.215700149536133,0.00593,0.00035,0.00172,0.00009,0.00640,0.00137,0.01587
1700030432.282278776168823,0.00723,0.00024,0.00058,0.00006,0.00049,0.00196,0.01056
1700030432.348790884017944,0.00738,0.00030,0.00059,0.00014,0.00046,0.00237,0.01125
1700030432.415942668914795,0.00646,0.00030,0.00047,0.00013,0.00022,0.00244,0.01002
1700030432.483100414276123,0.00788,0.00028,0.00024,0.00010,0.00029,0.00222,0.01100
1700030432.550264358520508,0.00721,0.00052,0.00077,0.00000,0.00092,0.00165,0.01108
1700030432.617434024810791,0.00783,0.00030,0.00107,0.00000,0.00079,0.00235,0.01233
1700030432.684610128402710,0.00825,0.00023,0.00016,0.00000,0.00215,0.00198,0.01277
1700030432.751791000366211,0.00976,0.00021,0.00015,0.00000,0.00060,0.00157,0.01229
1700030432.818979024887085,0.00354,0.00021,0.00028,0.00000,0.00127,0.00165,0.00695
1700030432.886173009872437,0.00628,0.00031,0.00045,0.00000,0.00068,0.00241,0.01014
1700030432.953372955322266,0.00831,0.00036,0.00042,0.00000,0.00041,0.00316,0.01266
1700030433.020579099655151,0.00555,0.00027,0.00046,0.00000,0.00039,0.00215,0.00883
1700030433.087791204452515,0.00606,0.00038,0.00186,0.00000,0.00137,0.00173,0.01140
1700030433.155008316040039,0.00835,0.00050,0.00133,0.00005,0.00166,0.00157,0.01347
1700030433.222232341766357,0.00680,0.00032,0.00114,0.00019,0.00131,0.00256,0.01231
1700030433.289462566375732,0.00613,0.00060,0.00198,0.00015,0.00000,0.00175,0.01061
1700030433.356695652008057,0.00480,0.00026,0.00058,0.00017,0.00106,0.00209,0.00896
1700030433.423523902893066,0.00745,0.00032,0.00112,0.00027,0.00559,0.00105,0.01579
1700030433.490631580352783,0.00652,0.00036,0.00055,0.00073,0.00441,0.00141,0.01398
1700030433.557749509811401,0.00736,0.00031,0.00038,0.00087,0.00205,0.00161,0.01257
1700030433.624876976013184,0.00717,0.00046,0.00065,0.00131,0.00081,0.00189,0.01229
1700030433.692015647888184,0.00792,0.00051,0.00022,0.00096,0.00208,0.00178,0.01347
1700030433.759165048599243,0.00521,0.00037,0.00088,0.00116,0.00039,0.00247,0.01049
1700030433.826324701309204,0.00674,0.00039,0.00051,0.00075,0.00049,0.00187,0.01076
1700030433.893495082855225,0.00866,0.00038,0.00236,0.00047,0.00500,0.00149,0.01836
1700030433.960675716400146,0.00520,0.00026,0.00013,0.00093,0.00311,0.00183,0.01146
1700030434.027866840362549,0.00675,0.00041,0.00003,0.00172,0.00026,0.00330,0.01246
1700030434.095067501068115,0.00595,0.00044,0.00089,0.00133,0.00000,0.00253,0.01115
